rank,trial_id,aggregated_score,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_is_pf,is_oos_decay,n_splits,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_kijun_period,p_risk_per_trade,p_score_threshold,p_senkou_b_period,p_session_filter_enabled,p_shift,p_tenkan_period,p_tp_rr_ratio
65,727,-1.006123657369506,6.895602068333182,15.803451451405376,0,1.9186101014421415,-4.97699196689104,9,1,14,34.11952478982716,0,23,0.013421769916553906,48,46,0,22,9,2.2161655212149203
66,836,-1.0609161930242852,8.536166185550009,19.194164757148588,0,2.7893293228791234,-5.746836862670886,9,1,14,26.410209921992077,1,40,0.019503641999439564,56,47,0,30,8,2.75502717285099
67,646,-1.9332977910668099,10.041215915492886,23.949027413119392,0.021530318997579394,1.473915612287281,-8.567300303205606,9,1,14,32.05101491944236,0,22,0.012276636817752436,48,47,0,24,13,2.1041342213871865
68,593,-2.0699536000380725,11.523253295938492,27.18641379195313,0.2757029136356149,1.580243647706322,-9.94300964823217,9,1,14,33.38986155413954,1,30,0.010923901000095024,53,47,0,30,7,2.131632303726154
69,198,-2.777431090304173,11.29056448609848,28.135991152805307,0,2.0594407750484174,-9.231123711050063,9,1,14,35.114717374975726,0,33,0.010782550050701807,51,43,0,30,9,3.7608067978438697
70,130,-2.9074965924119933,11.6109857790951,29.036964743014188,0.21271195061590445,1.1787733510545717,-10.432212428040529,9,1,14,37.24882775705704,1,31,0.0173235162285578,42,46,0,22,9,1.5715571927778798
71,986,-3.216275263083352,12.68608440981181,31.804719345790325,0,1.9575260072658394,-10.728558402545971,9,1,14,28.374169317028972,0,24,0.012991686589458826,42,65,0,30,13,2.3281953117482344
72,734,-3.4841802104950546,158.61170539275375,324.1917712064976,0,1.843014830657624,-156.7686905620961,9,1,14,40.43596175301141,0,21,0.011457972807603347,48,69,0,21,12,1.6198043589874738
73,369,-3.9148760045140705,158.83414468660243,325.498041382233,0,2.267660173277315,-156.56648451332512,9,1,14,38.55800738367874,1,31,0.010827309118986212,41,40,0,26,7,3.154120556650243
74,783,-4.123308167569064,157.72998676216707,323.7065898594723,0,2.652240333945873,-155.0777464282212,9,1,14,44.30613197925575,1,22,0.01426790248930506,55,65,0,27,12,1.62145061356655
75,605,-4.62329234832127,15.605233969081082,40.457052634804704,0.28624441944569856,1.6940357867651525,-13.91119818231593,9,1,14,37.20105076836218,0,39,0.01719076488476383,57,50,0,23,12,1.8205062446769953
76,39,-4.81137200448217,17.046556790786216,43.71585759053677,0.22242894346081382,2.1479608064999445,-14.89859598428627,9,1,14,29.230572548824885,1,37,0.01796885255357855,50,57,0,25,8,1.51253020757089
77,47,-4.966344821440117,18.215509586487958,46.36370881585615,0,1.1090559506398108,-17.106453635848148,9,1,14,40.035800206657285,0,38,0.011142189976481328,54,41,0,30,10,2.485590409912109
78,934,-5.293807886209027,16.865999606746783,44.31961498591162,0,1.526158625717174,-15.339840981029608,9,1,14,29.204624797172013,0,26,0.014926705079997549,51,67,0,26,12,2.398578711558068
79,606,-5.857350064326766,155.608431308705,322.93156274606355,0,1.2974225595288398,-154.31100874917618,9,1,14,41.49419410795838,1,21,0.016855989470309245,45,55,0,25,11,1.56510865385101
80,626,-5.906627592228588,69.77541649086267,151.3640881661825,0,1.7397251841262957,-68.03569130673637,9,1,14,39.95648932100528,0,31,0.018429912622912305,40,53,0,21,8,1.8447218550352704
81,206,-6.133989313368023,18.76503433173711,49.79804729021026,0.2317082623928032,1.1998047769142677,-17.565229554822842,9,1,14,29.365689404122847,1,33,0.015996865030783743,52,58,0,26,13,1.7508187924120338
82,345,-6.483955044632324,92.36328685073791,197.69448379074046,0,1.33647573881712,-91.0268111119208,9,1,14,38.44571541779152,1,27,0.01509056304998155,47,63,0,24,12,2.0052016246749313
83,177,-6.736032087312509,153.8664432331797,321.2049506409844,0,1.8671445152235944,-151.9992987179561,9,1,14,39.78808699835131,0,23,0.015029473976697945,40,59,0,27,13,2.6458766154498825
84,871,-9.262186420620118,44.61730539262772,107.75898362649568,0,2.0708204388589397,-42.54648495376878,9,1,14,33.66811881146958,0,37,0.011177198897935217,40,51,0,28,13,3.5419421044201336
85,872,-9.38009470514843,26.558790171195298,71.87776975268746,0,1.607975904196986,-24.95081426699831,9,1,14,32.15636050490665,0,34,0.01662756848368303,44,68,0,21,9,2.6760775897805567
86,537,-10.752440471379238,50.695960072426615,122.8968010876117,0,2.08940445588672,-48.60655561653989,9,1,14,36.55569017011229,0,35,0.010145930174350455,46,47,0,29,11,3.116446094883779
87,664,-12.800650449373776,92.96455720933102,211.5304153174096,0,1.4155122480273266,-91.5490449613037,9,1,14,38.33722477079624,0,27,0.01911985841942811,55,61,0,28,9,2.224773658452869
88,703,-14.05632619178786,39.59365101847738,107.29995442053048,0.016787724667228447,1.3874185980735383,-38.20623242040384,9,1,14,32.12238597476865,1,26,0.016973209895836058,52,68,0,23,10,2.296850834670032
89,711,-18.08570719655063,51.7925368324337,139.75648805796865,0.24459168848412366,1.6337180239005744,-50.15881880853312,9,1,14,33.946437212819596,0,28,0.019247173741546608,56,69,0,29,13,1.9316976007867657
90,876,-18.555571824819687,48.573539757357956,134.2582231643553,0,1.8207847025648352,-46.75275505479312,9,1,14,32.91386040683539,0,21,0.01347354729520971,56,61,0,23,9,3.496639169547369
91,574,-19.88300159863998,55.46178952732504,150.68958225193003,0.3940756423133367,1.5731525037959126,-53.88863702352913,9,1,14,36.6831050611332,0,35,0.013778091300548872,42,65,0,21,8,1.8880371301164471
92,142,-21.240600307583996,56.28735670447535,155.0559140241187,0.011926428398254954,1.5584249383384692,-54.72893176613688,9,1,14,29.239001397810195,1,37,0.01373081082199029,45,69,0,20,10,2.621581141801948
93,441,-21.46045280884833,57.502018351813135,157.92494232132293,0.2979821674714085,1.5985397674678612,-55.90347858434527,9,1,14,34.01411962923161,0,32,0.011987538518115005,42,68,0,23,11,1.960805266482732
94,599,-21.583105182202416,134.59462296044967,312.3554562853042,0,1.2728889501780445,-133.32173401027163,9,1,14,40.15775871015923,1,34,0.011681322645933308,56,46,0,23,9,2.8281686369340453
95,320,-26.84026554131266,69.77184750798438,193.22422609859407,0.24642804578619346,1.5228288005670245,-68.24901870741735,9,1,14,34.81498547983682,0,39,0.019760741685593212,43,62,0,25,13,1.999670602807134
96,219,-27.172492681671457,128.67424187754193,311.6934691184268,0,1.7342245711233533,-126.94001730641858,9,1,14,38.63239705388936,0,22,0.016647448516764824,50,58,0,25,11,1.653581204014681
97,624,-27.855343784379002,127.95519041058209,311.6210683899222,0.26082726837591624,1.33644756672035,-126.61874284386174,9,1,14,38.71739608880765,0,26,0.018588627311770488,56,56,0,29,12,1.5853000096018892
98,629,-28.81675174445627,126.97495396119533,311.5834114113032,0,1.4278319883677721,-125.54712197282755,9,1,14,38.032167306582565,0,29,0.01127446694896756,56,57,0,20,12,1.887657802508944
99,115,-29.34575873374513,126.43759422631294,311.56670592011614,0,1.4515895557849343,-124.986004670528,9,1,14,37.63852941436215,1,34,0.014542022860430824,45,54,0,26,7,1.863770197503963
100,656,-36.35453198108756,119.64236899362261,311.99380194942034,0,1.3399110713845566,-118.30245792223805,9,1,14,43.2131046537193,0,21,0.023452866660706374,59,41,0,25,9,1.5696193772479226
101,921,-43.936248912280405,112.88705721070286,313.64661224596654,0,1.9274775190991167,-110.95957969160375,9,1,14,44.23758190806534,0,23,0.015034645266993172,40,40,0,23,9,1.613615713988422
102,284,-44.19926601878325,112.66205652924273,313.72264509605196,0.3623344490152052,1.3708272745077834,-111.29122925473494,9,1,14,43.463461359235126,1,40,0.018468292276411887,55,52,0,26,13,1.5206281709303802
103,654,-44.364527949028556,112.5226315682621,313.7743190345813,0,1.233469533103897,-111.2891620351582,9,1,14,38.90871906418227,0,38,0.012473360681578298,46,54,0,27,7,2.376121248446908
104,884,-44.507496616617914,112.4025521362866,313.82009750580903,0,1.3089040940592864,-111.09364804222731,9,1,14,37.822943703171525,1,26,0.01335526771314756,41,62,0,28,10,3.119526835128063
105,419,-44.534392742747016,112.3778827442299,313.8245509739538,0,1.6320195336292118,-110.74586321060067,9,1,14,38.820129569730376,1,28,0.011939745239757313,42,52,0,22,9,2.4739216230634153
106,611,-44.55397364857794,112.36165086651866,313.8312490301932,0,2.47244652049761,-109.88920434602105,9,1,14,38.244358691905155,0,22,0.011348184272629878,43,49,0,29,9,2.6488280557128547
107,592,-44.60727089362132,112.31558686851122,313.8457155242651,0,1.2539864311123936,-111.06160043739882,9,1,14,38.265899601982234,0,40,0.010853114002572176,51,47,0,28,12,3.3871642599174936
108,398,-44.69084825603659,112.24455299590534,313.87080250388385,0,1.0327458576824844,-111.21180713822285,9,1,14,39.40203736493838,0,28,0.013010758789534511,44,50,0,29,10,2.2625942050219168
109,165,-44.74509566008784,112.19871181335459,313.88761494688487,0,1.6128403123332007,-110.58587150102139,9,1,14,38.85656124373065,0,36,0.012081623735895455,45,68,0,30,12,3.520216418046821
