rank,source_db,trial_id,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_oos_sharpe,std_oos_sharpe,sample_skew,sample_kurtosis_raw,n_observations,pbo_pool_score,pbo_pool_robustness,dsr_score,dsr_z_star,dsr_e_max_h0,dsr_robustness
41,tpe,197,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
42,tpe,198,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
43,tpe,199,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
44,tpe,171,2.2529609244564512,1.6430098893289773,0.459579670013237,1.260543560955935,2.169063442710507,-0.6414920018277148,2.3102890631217554,6,1,weak,0.03733989418903455,-1.7824254018892807,2.4770749843623228,weak
45,tpe,170,2.2505821689101064,1.639522047157103,0.45943052322546635,1.2594888671555007,2.169075032276604,-0.6437405352451169,2.3120971521322553,6,1,weak,0.037276456024182114,-1.7832045617815269,2.4770749843623228,weak
46,tpe,169,2.2487748698657937,1.636891219386147,0.4593130459635693,1.2586978449774564,2.1690698880056445,-0.645436128000998,2.3134625696597455,6,1,weak,0.03722929690141347,-1.7837844816038344,2.4770749843623228,weak
47,tpe,166,2.2466221393421173,1.633779251057961,0.4591683797207245,1.257767454644714,2.169048681998978,-0.6474410625622685,2.3150797194422665,6,1,weak,0.03717431736645194,-1.78446132797079,2.4770749843623228,weak
48,tpe,165,2.2452157154208403,1.6317589438947797,0.4590710633424955,1.2571666545437215,2.169026295116453,-0.6487421062598816,2.3161308735555743,6,1,weak,0.037139109298503725,-1.784895199971628,2.4770749843623228,weak
49,tpe,164,2.2439426744662443,1.6299390058079037,0.45898105321565696,1.25662769301159,2.1690004154497644,-0.6499136507577097,2.3170787232173944,6,1,weak,0.03710773118919397,-1.785282158430542,2.4770749843623228,weak
50,tpe,163,2.243637724906792,1.629504290129421,0.45895921942508583,1.256499278514519,2.168993441245607,-0.6501934171210046,2.317305268785569,6,1,weak,0.03710028452000552,-1.7853740308726844,2.4770749843623228,weak
51,tpe,167,2.242246466023436,1.62752709993157,0.4588582670578828,1.2559168288683864,2.1689579080791406,-0.6514654763353914,2.3183363635387693,6,1,weak,0.03706665554399946,-1.7857891123815568,2.4770749843623228,weak
52,tpe,168,2.240564454924881,1.6251500928158007,0.45873326746013576,1.2552201839476373,2.168907023637099,-0.6529938465904513,2.3195775888372605,6,1,weak,0.037026759558034195,-1.7862819467872595,2.4770749843623228,weak
53,tpe,161,2.2389558157487484,1.6231813546326184,0.4586255045469715,1.254378232434903,2.168693362150828,-0.6542016631717601,2.3208862282157847,6,1,weak,0.03695142222796377,-1.7872137724327715,2.4770749843623228,weak
54,tpe,162,2.2383724450986753,1.622690801368433,0.458597173140904,1.2539338315410993,2.1684947070582528,-0.6544520812982252,2.3214570598352537,6,1,weak,0.036895266513409575,-1.787909357048057,2.4770749843623228,weak
55,tpe,159,2.2373206808651713,1.621807014558443,0.458545625475996,1.253131947487535,2.168135142997335,-0.6549020679014513,2.3224867095289374,6,1,weak,0.03679399868888089,-1.7891659233579469,2.4770749843623228,weak
56,tpe,160,2.236845774675979,1.6214082238075946,0.45852215140159636,1.2527695948883695,2.1679722023175287,-0.6551046173932998,2.3229518310223423,6,1,weak,0.03674826384489982,-1.7897343444019156,2.4770749843623228,weak
57,tpe,158,2.2338237241636496,1.6188744366951715,0.4583698483156582,1.2504599751808925,2.166927036248484,-0.6563841581791066,2.325914328227536,6,1,weak,0.03645713423544139,-1.7933663117542817,2.4770749843623228,weak
58,tpe,157,2.2293981757515913,1.6151760736881453,0.4581375123072218,1.2470670725451833,2.1653719163444665,-0.6582280004290342,2.330259930635285,6,1,weak,0.03603068786327562,-1.7987295012999558,2.4770749843623228,weak
59,tpe,156,2.2248236878090926,1.6113683996857802,0.45788540950278916,1.2435490294328055,2.1637363560048555,-0.6600952158397672,2.334758538806873,6,1,weak,0.03559012387930116,-1.8043251204428479,2.4770749843623228,weak
60,tpe,155,2.2240840558067383,1.6107541944188035,0.45784348161577065,1.2429793517917744,2.1634694294090626,-0.6603933309761745,2.335486363393541,6,1,weak,0.035518942350754035,-1.8052345200345867,2.4770749843623228,weak
61,tpe,154,2.215168797089762,1.6033822593148852,0.4573117295551803,1.2361001142001629,2.1602044543370233,-0.6639008995927312,2.344263339559237,6,1,weak,0.03466303131395515,-1.8162882086785281,2.4770749843623228,weak
62,tpe,64,2.6073791990776347,2.189341909513895,0.33028278413947765,1.3070784915580935,2.062923456123732,-0.5007431088393172,1.9538752913734618,6,1,weak,0.03423224161054489,-1.8219366693808274,2.4770749843623228,weak
63,w3a,308,2.6891493013983045,1.8330320748255517,0.26991036349396874,1.2338805082521536,2.407845029714883,-0.7835003517754044,1.915078628976101,6,1,weak,0.03384780459130543,-1.8270269118820517,2.4770749843623228,weak
64,tpe,84,2.235647230481744,1.5380306487878204,0.4688448914999644,1.3123944491235664,2.116390207869816,-0.3766656463804266,2.16928174278519,6,1,weak,0.032699077236211904,-1.8425258209607909,2.4770749843623228,weak
65,w3a,906,1.8307612733937482,1.0198238773568273,0.28627178946871845,1.198434869164738,2.286556351255964,-0.7597404896434843,1.723275616504051,6,1,weak,0.026140478159162872,-1.9408119318449077,2.4770749843623228,weak
66,tpe,177,2.3582442688137113,1.7210946397073432,0.45935238407409945,1.2642030807370226,2.2734615673160103,-0.2865462614478682,2.257437449552894,6,1,weak,0.023511436295505173,-1.986092885913715,2.4770749843623228,weak
67,tpe,149,2.178312637797606,1.5323512573402738,0.4570990259406545,1.0800354997615447,2.0620369754988266,-0.607639082632755,2.261845192776881,6,1,weak,0.014058726164057067,-2.1956423852957507,2.4770749843623228,weak
68,tpe,55,17.128564399121267,35.19295468510118,0.4103030719059077,0.9647098625571985,2.116476260720734,-0.9612951952396447,2.5996310176163195,6,1,weak,0.012871078951243897,-2.230078331039195,2.4770749843623228,weak
69,tpe,45,17.083822925210747,35.09762642715043,0.40888686383589157,0.9627375194324891,2.1184241517733247,-0.9649760372251474,2.602086104377765,6,1,weak,0.012786018135595933,-2.2326486908944165,2.4770749843623228,weak
70,tpe,27,2.4341001117754217,2.1602855536508616,0.37128841545124963,1.0423169993648331,2.520796254393805,-0.6176435681111958,2.488741820888312,6,1,weak,0.012489141364562861,-2.2417371791627017,2.4770749843623228,weak
71,tpe,4,2.354106489512193,2.1312283717694704,0.4623229693370967,1.2283026524548026,2.2934929186582393,-0.1664863027517701,1.7583583572638641,6,1,weak,0.011093104830345202,-2.287163662411435,2.4770749843623228,weak
72,tpe,8,2.6634709899385864,2.538756409643733,0.3339950298872523,1.1544156022788792,2.16352763926245,-0.28996238960589366,1.92713368504951,6,1,weak,0.010529825580094743,-2.306912378684594,2.4770749843623228,weak
73,tpe,30,2.856703998964658,3.127094229920317,0.3723174621276584,1.0485177712944476,2.604627287422205,-0.43002291586101654,2.354475322760042,6,1,weak,0.008996605998659313,-2.365757195847637,2.4770749843623228,weak
74,tpe,100,2.4813285775887723,2.4288266756544488,0.443994927734448,0.9173036904104167,1.9142248124568464,-0.4883963764215764,2.4191458673813986,6,1,weak,0.0041563165653462075,-2.639103812428252,2.4770749843623228,weak
75,tpe,60,16.62706057481559,34.39421869693281,0.45315411745798523,0.8569013942386193,1.7132028705612452,-0.6225570932367726,2.3483026067435264,6,1,weak,0.003317128576332984,-2.7146714745047666,2.4770749843623228,weak
76,tpe,50,16.87712186589885,34.76109358027326,0.4101836469473245,0.8312199984629894,1.9382036314392925,-0.6310009156857083,2.3075490997128343,6,1,weak,0.002703642315124488,-2.781719982906845,2.4770749843623228,weak
77,tpe,126,2.17721342173203,1.6681852902100442,0.41314097018229035,0.7655718998703627,2.096304232297959,-0.7613535756023612,2.3505384296131147,6,1,weak,0.002066261811289216,-2.867874588939023,2.4770749843623228,weak
78,tpe,128,2.162578786858999,1.6466936218759367,0.4134552189422863,0.7598075367852418,2.0844858451179467,-0.7841440458907603,2.348658617792531,6,1,weak,0.0020541235131299462,-2.8697383224302437,2.4770749843623228,weak
79,tpe,114,2.149057547754999,1.6284688251492156,0.4132191516212654,0.74282553413728,2.071692225751846,-0.7912419275100203,2.369852746112567,6,1,weak,0.001811329714926091,-2.9092884299419137,2.4770749843623228,weak
80,tpe,115,2.145510940991238,1.6267487422521776,0.41303762734493726,0.73929954459215,2.07012600535718,-0.7942947996857955,2.3752665215499738,6,1,weak,0.0017699647791862838,-2.916502892919478,2.4770749843623228,weak
81,tpe,40,16.846471938365898,34.713634278950764,0.3647851266334645,0.6958172535986984,2.273382498710342,-0.8782269768076764,2.6732424486286686,6,1,weak,0.001550298985273646,-2.957598124971549,2.4770749843623228,weak
82,tpe,58,17.02930415831634,35.28885177739243,0.3719651190450144,0.6821636522905813,2.2188969508650715,-0.9201618457832168,2.741914062286562,6,1,weak,0.0015055650026470913,-2.9666134821360735,2.4770749843623228,weak
83,w3a,36,1.4301685261739214,0.5420238919238879,0.748665085411764,0.9800062155975336,1.2642388130223399,0.15253103845068838,1.7778251248007666,6,1,weak,0.000506639543847609,-3.286846459091399,2.4770749843623228,weak
84,tpe,36,16.603283318709874,34.563184303796916,0.40690788633137015,0.6332405489666364,1.8075880490728027,-0.6359850135647327,2.583535354392312,6,1,weak,0.000484465161546932,-3.299430128205345,2.4770749843623228,weak
85,tpe,51,16.459076930657442,34.269656569978814,0.35807174891026755,0.462167073557826,2.134199340677601,-0.9572201299739658,2.942404156062429,6,1,weak,0.00014540191630979526,-3.623420297562947,2.4770749843623228,weak
86,tpe,38,15.499312316229002,32.247892573957294,0.40118699780216105,0.5137003861602771,1.755872148668316,-0.6001008987876293,2.610810236349921,6,1,weak,0.00011158212825407299,-3.6913096774293903,2.4770749843623228,weak
