rank,trial_id,aggregated_score,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_is_pf,is_oos_decay,n_splits,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_kijun_period,p_risk_per_trade,p_score_threshold,p_senkou_b_period,p_session_filter_enabled,p_shift,p_tenkan_period,p_tp_rr_ratio
119,17,1.083101859781166,1.423945732656487,0.6319165523153143,0.3574191392279002,1.250809108081345,-0.173136624575142,6,1,14,29.885024687322662,0,36,0.014573230898582716,50,55,0,28,8,2.3663016667853713
120,18,1.081785238438624,1.5577993990601768,0.6467920172782503,0.4825929294110864,1.3303631949819674,-0.22743620407820941,6,1,14,30.119518332593355,0,37,0.014646351835164086,50,56,0,30,10,2.390807596080538
121,41,1.0777282361850637,1.7102736809222645,1.5111350314599166,0.3445001631061658,1.3408744205226917,-0.3693992603995728,6,1,14,29.212485332244476,0,36,0.022221549949419724,50,52,0,27,9,2.2061100180234168
122,58,1.0657296325949197,17.02930415831634,35.28885177739243,0.3719651190450144,1.6510437697608082,-15.378260388555532,6,1,14,29.182377590701023,0,36,0.014248381777642491,49,52,0,28,9,2.3197444635746067
123,56,1.0619214392814964,1.392215731047594,0.6081465248824743,0.47667228433608255,1.351643142792219,-0.04057258825537491,6,1,14,29.43962788573813,0,36,0.014375777800654604,50,60,0,30,10,2.3695712809699856
124,46,1.0582871673117678,1.725369220101805,0.9443628396554027,0.47871699230287434,1.423878015933737,-0.30149120416806796,6,1,14,29.007376838861244,0,36,0.01425011117157847,51,53,0,29,11,2.369813047905633
125,2,1.0554774011044594,1.8985700493780773,1.0397175726569141,0.3549654657993996,1.7651662610956071,-0.13340378828247013,6,1,14,30.369434146219593,0,38,0.014260164274057732,56,69,0,22,13,2.4882738547004877
126,65,1.0541994328197393,1.3402263902823632,0.619109915090229,0.42629420966852605,1.2335153956321407,-0.10671099465022249,6,1,14,29.175184991886844,0,36,0.01434857947895323,51,55,0,29,8,2.3650850640889063
127,71,1.0364242254285476,1.9187228426735397,1.4107419508334913,0.4741783193257635,1.6705642051306382,-0.24815863754290146,6,1,14,28.949129921782653,0,37,0.01411999047410441,53,51,0,26,10,2.3492784902874213
128,152,1.028046216426906,1.90074987658041,1.1487670341821905,0.4581784418158944,1.7676836037037968,-0.1330662728766132,6,1,14,26.519894394144337,0,39,0.011949727843018535,55,51,0,24,11,2.6
129,6,1.0045400593489275,1.6067622340262224,1.0034195271190507,0.3580570015566514,1.3248070269243544,-0.28195520710186806,6,1,14,28.777365839364684,0,37,0.014736447828198437,55,58,0,28,7,2.3786413542987717
130,28,1.001228815346403,1.537370762977001,0.9025127635675039,0.33789238119961895,1.3778193620406565,-0.15955140093634457,6,1,14,29.397942604453625,0,37,0.014296763367494338,56,56,0,30,7,2.2076065053580183
131,53,0.9964893465522748,1.7395894693307836,1.5249904115018371,0.36193607622670976,1.413401142776122,-0.3261883265546617,6,1,14,29.28888676401388,0,36,0.014374684462301257,49,51,0,27,9,2.258365483603513
132,66,0.9941661882859676,1.4538705047717249,0.6177419184157986,0.4312564576506632,1.3108385092440593,-0.14303199552766555,6,1,14,28.881294021279796,0,36,0.014443734593457512,51,54,0,29,8,2.3923449957261074
133,57,0.9869884615570124,1.4882960523356832,0.7449012775956714,0.4022648870086608,1.2545248281535533,-0.23377122418212992,6,1,14,29.21559375298987,0,36,0.014472063098978125,49,51,0,29,10,2.273027955066843
134,75,0.9826825220640922,2.0213342262577374,1.4463797972813393,0.48105203753956943,1.6101416712243133,-0.4111925550334241,6,1,14,28.894433269913772,0,38,0.014079175325864458,53,51,0,27,10,2.3839003746697007
135,120,0.9786516162166685,1.8577162810538421,1.1422038900200688,0.41698368386300333,1.5579981073299807,-0.29971817372386145,6,1,14,27.106780533165946,0,39,0.012953603293413348,55,50,0,24,10,2.6
136,38,0.978609127240369,15.499312316229002,32.247892573957294,0.40118699780216105,1.44907064924736,-14.050241666981641,6,1,14,29.06588496282194,0,36,0.014344445235761874,51,51,0,28,9,2.2277349760405327
137,77,0.9763894741909958,2.0176786142328846,1.4459051121389113,0.48023080963862247,1.605908224062821,-0.41177039017006356,6,1,14,28.86216498262238,0,38,0.014363634912857456,53,51,0,27,10,2.381311935408981
