rank,trial_id,aggregated_score,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_is_pf,is_oos_decay,n_splits,survives,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_kijun_period,p_risk_per_trade,p_score_threshold,p_senkou_b_period,p_session_filter_enabled,p_shift,p_tenkan_period,p_tp_rr_ratio
32,944,1.073621172184281,2.134639859931031,1.7053490284226287,0.3025675588500434,1.7154809803075644,-0.41915887962346643,6,0,1,14,31.43048186350681,1,31,0.010953355309157576,42,52,0,21,7,3.802788628982922
33,592,1.0596124435203387,167.7532352050617,372.18809989946027,0.48667511104510647,1.6278948285073935,-166.12534037655433,6,0,1,14,38.265899601982234,0,40,0.010853114002572176,51,47,0,28,12,3.3871642599174936
34,0,1.0437224264006117,1.6005140201731207,0.7935404081739242,0.44019278890862074,1.4666087993433745,-0.1339052208297462,6,0,1,14,35.53114818005548,0,33,0.018118035164615538,41,52,0,28,12,1.828197222918587
35,773,1.042045252296509,1.9140298995991882,1.8010177838757668,0,1.6781219227259967,-0.23590797687319154,6,0,1,14,34.196227010826796,1,29,0.014902489323435209,52,69,0,27,12,3.5344200886301276
36,38,1.037480614556971,1.3184209204548056,0.5108948301877012,0.5191453428408176,1.2482428517407897,-0.07017806871401588,6,0,1,14,29.95312034831646,0,30,0.01143992079723423,56,60,0,20,8,2.263182989149486
37,606,1.0356202848888614,2.1646829940207235,1.4067307601811192,0.31397245462284123,1.6484885657747437,-0.5161944282459798,6,0,1,14,41.49419410795838,1,21,0.016855989470309245,45,55,0,25,11,1.56510865385101
38,605,1.0266535240996724,2.3841189237784888,2.334909619774072,0.21808708663159931,1.821578994709321,-0.5625399290691677,6,0,1,14,37.20105076836218,0,39,0.01719076488476383,57,50,0,23,12,1.8205062446769953
39,815,1.0200120595240394,1.4405591474957848,0.8013592337662596,0.34696570371522495,1.330157404127507,-0.1104017433682778,6,0,1,14,27.639301779934957,1,21,0.019284423369146233,40,64,0,25,12,2.0089803846401333
40,840,0.9972374687914642,1.6992442064692785,1.0175423897825688,0.24011751710082804,1.4783266977077896,-0.22091750876148897,6,0,1,14,33.03656076012612,1,40,0.014468991094414466,42,60,0,23,8,2.007818508793261
41,777,0.9903821515654145,1.626053362733579,1.0415261087015857,0.20907844537882847,1.4786947994406658,-0.14735856329291308,6,0,1,14,35.45661887619351,0,32,0.01116608649529331,59,57,0,26,12,1.673274656050313
42,921,0.9836622593832272,2.905319262849311,2.396572603707323,0.22340285258278503,2.0053811780177004,-0.8999380848316108,6,0,1,14,44.23758190806534,0,23,0.015034645266993172,40,40,0,23,9,1.613615713988422
43,624,0.9699759741761691,2.526307814593775,2.2892587732646357,0.42340012209807487,1.6410546237302805,-0.8852531908634946,6,0,1,14,38.71739608880765,0,26,0.018588627311770488,56,56,0,29,12,1.5853000096018892
44,734,0.9586080795737728,2.4504553686872845,1.603138677422874,0.33333943871687816,1.8809557645085881,-0.5694996041786964,6,0,1,14,40.43596175301141,0,21,0.011457972807603347,48,69,0,21,12,1.6198043589874738
45,913,0.9411254807387041,1.6163429901382669,0.9113585985143443,0.38915732446293716,1.3296809057781156,-0.2866620843601513,6,0,1,14,27.25577170299353,1,21,0.011206223455530184,48,54,0,30,11,1.7525885484207009
46,194,0.9239182254466092,1.5146571643871913,0.7207673337744291,0.3556720393507308,1.3931079048405397,-0.12154925954665163,6,0,1,14,30.88549240126275,0,29,0.01877959377016349,60,65,0,30,13,1.8452473918741468
47,986,0.9230968850535811,1.7831328625797402,0.9061901149122744,0.45833962078544466,1.7371878146065995,-0.045945047973140696,6,0,1,14,28.374169317028972,0,24,0.012991686589458826,42,65,0,30,13,2.3281953117482344
48,51,0.9090124269635428,1.623816517445152,1.067274883019792,0.3056941062602431,1.448452793392672,-0.1753637240524799,6,0,1,14,29.22569532354518,0,29,0.012864044428216106,43,68,0,26,7,1.9175698723474908
49,398,0.8979793075517304,1.5175685552646312,0.9745353423508019,0.3647472472884709,1.1344293302039525,-0.38313922506067866,6,0,1,14,39.40203736493838,0,28,0.013010758789534511,44,50,0,29,10,2.2625942050219168
50,287,0.8926873816190892,1.8640822659018326,1.7736710976861136,0,1.3046639106885618,-0.5594183552132708,6,0,1,14,33.691610015928006,1,29,0.01494801437646098,55,63,0,29,9,3.228403584820081
51,130,0.8850885911659705,1.4972046614013699,0.7592932993675968,0.5591270503514512,1.253071344755873,-0.24413331664549687,6,0,1,14,37.24882775705704,1,31,0.0173235162285578,42,46,0,22,9,1.5715571927778798
52,626,0.8678247122685632,45.41393752579125,97.69914012099804,0.5420575108970969,2.0588381670069573,-43.35509935878429,6,0,1,14,39.95648932100528,0,31,0.018429912622912305,40,53,0,21,8,1.8447218550352704
53,36,0.8676269613703567,1.4301685261739214,0.5420238919238879,0.748665085411764,1.3478258777975265,-0.08234264837639493,6,1,1,14,28.919337346397217,1,25,0.01061352821894114,51,54,0,21,12,2.829076469015366
54,320,0.8396165456738591,2.0212487515493525,1.8495737874421705,0.2848059885760135,1.468986197078323,-0.5522625544710296,6,0,1,14,34.81498547983682,0,39,0.019760741685593212,43,62,0,25,13,1.999670602807134
55,359,0.8357460752771848,2.1391277614006277,2.4883462721564418,0,1.7073253358669076,-0.43180242553372006,6,0,1,14,37.41505998421908,0,37,0.012376260542832168,54,61,0,25,7,2.597093135147537
56,711,0.8332229350314246,1.7310468593888013,1.1980757536565039,0.23541526521928233,1.4633842835069053,-0.267662575881896,6,0,1,14,33.946437212819596,0,28,0.019247173741546608,56,69,0,29,13,1.9316976007867657
